model,price,dimensions,wheelbase,seats,engine_type,engine_displacement,max_ouput,max_torque,fuel,power_transmission,brake,tires,wheels_size
Camry,2355000,"4,885 x 1,840 x 1,445",-,5,"16-Valve DOHC, 4-Cylinder, In-line, VVT-iE (Intake), VVT-I (Exhaust)","2,487",178 / 5700,"221 / 3,600 ~ 5,200",50L,CVT,Ventilated Disc / Solid Disc,235 / 45R18 Alloy,"18"" Alloy"
Corolla Altis,1302000,"4,630 x 1,780 x 1,435","2,700",5,"Dual VVT-I, 4-Cylinder In-Line DOHC, 16 Valve","1,598","121 hp / 6,000 rpm","153 Nm / 5,200 rpm",50,CVT,Ventilated Discs / Solid Discs,225 / 45R17 Aluminum Alloy with machined finish,-
GR Yaris,2740000,"3,995 x 1,805 x 1,455","2,560",4,"3-Cylinder, In-line, DOHC 4-Valve Roller-rocker","1,618",261/6500,360/3000-4600,50,6-Speed MT,Ventilated Disc with 4-Cylinder Fixed Caliper / Ventilated Disc with 2-Cylinder Fixed Caliper,225,40R18 BBS Forged Alloy
Prius,2436000,"4,480 x 1,745 x 1,480","2,700",5,"Hybrid Synergy Drive, Variable Valve Timing - Intelligent, 4 Cylinder In Line DOHC, 16 Valve","1,786",73 / 5200,142 Nm / 4000,45,Electronically Controlled Continuously Variable Transmission (CVT) with ECO and EV Mode Settings,Ventilated Discs / Solid Discs,195,65 R15 Alloy
Vios,985000,"4,425 x 1,730 x 1,475","2,550",5,"Dual VVT-I, 4-Cylinder In-LineDOHC 16V EFI","1,496","107PS/6,000rpm","140Nm/4,200rpm",42,CVT,Ventilated Discs / Solid Disc,195/50 R16 Alloy,-
Vios GR-S,1035000,"4,467 x 1,730 x 1,475","2,550",5,"Dual VVT-I, 4-Cylinder In-LineDOHC 16V EFI","1,496","107PS/6,000rpm","140Nm / 4,200rpm",42,CVT,Ventilated Discs/Solid Disc,195/50 R16 Alloy,16 inches Alloy
Wigo,705000,"3,700 x 1,600 x 1,520",-,5,3 Cylinder In-line,998,66 / 6000,89 / 4400,-,4-Speed A/T,Ventilated Disc / Drum,175 / 65R14,"14"" x 5J Alloy (Machine Cut Design)"
Yaris,1114000,"4,140 x 1,730 x 1,500",-,5,"4-cylinder, In-line 16-valve DOHC, Chain Drive (with Dual VVT-i)","1,496",107PS/6000Rpm,140Nm / 4200Rpm,-,CVT,Ventilated Disc / Solid Disc,185,60R15 Alloy
Corolla Cross,1774000,"4,455 x 1,825 x 1,620",-,-,"16-Valve DOHC, 4-Cylinder, In-line,","1,798","98 / 5,200","3,600",-,-,Ventilated Discs/Solid Discs,225/50 R18,"18"" Alloy"
FJ Cruiser,2218000,"4,670 x 1,905 x 1,830","2,690",5,"6-cylinders, V-Type, 24-valve DOHC with dual VVT-i","3,956","268 / 5,600","380 / 4,400",-,5-Speed Automatic,"16"" Disk / 15"" Disk",265 / 70 R17,17 x 7.5J
